평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2021,LIBTYPE000003,L0044,ICT폴리텍대학 도서관,경기,광주시,9548,0,26,67,2631510 
2021,LIBTYPE000003,248032,가야대학교 분성도서관,경남,김해시,226911,2,349,5493,123390555 
2021,LIBTYPE000003,241005,가천대학교 중앙도서관,경기,성남시,1031292,10,2538,62815,2026162343 
2021,LIBTYPE000003,228001,가천대학교 중앙도서관(M),인천,연수구,106466,1,643,4661,0 
2021,LIBTYPE000003,242003,가톨릭관동대학교 학술정보원,강원,강릉시,756027,4,1725,16389,730606487 
2021,LIBTYPE000003,243019,가톨릭꽃동네대학교 도서관,충북,청주시,65157,1,131,676,50000000 
2021,LIBTYPE000003,211001,가톨릭대학교 성신교정도서관,서울,종로구,294777,4,445,10677,102115969 
2021,LIBTYPE000003,241027,가톨릭대학교 성심교정도서관,경기,부천시,691141,6,3612,70307,1181288005 
2021,LIBTYPE000003,211002,가톨릭대학교 성의교정도서관,서울,서초구,185877,7,2062,22800,2607562929 
2021,LIBTYPE000003,247013,가톨릭상지대학교 도서관,경북,안동시,115156,2,354,6401,68498447 
2021,LIBTYPE000003,211003,감리교신학대학교 도서관,서울,서대문구,233313,2,861,20895,119878866 
2021,LIBTYPE000003,241001,강남대학교 도서관,경기,용인시,554156,4,419,2623,456383861 
2021,LIBTYPE000003,243014,강동대학교 도서관,충북,음성군,133691,0,141,1678,107161200 
2021,LIBTYPE000003,242010,강릉영동대학교 도서관,강원,강릉시,97902,1,248,2142,41585363 
2021,LIBTYPE000003,242011,강릉원주대학교 도서관 원주분관,강원,원주시,167467,1,279,1665,199734600 
2021,LIBTYPE000003,242001,강릉원주대학교 중앙도서관,강원,강릉시,699953,9,1061,18048,635094470 
2021,LIBTYPE000003,242016,강원관광대학교 도서관,강원,태백시,48301,1,116,439,13664690 
2021,LIBTYPE000003,242002,강원대학교 도서관,강원,춘천시,1182781,18,3001,38218,3464235503 
2021,LIBTYPE000003,242006,강원대학교 삼척도서관,강원,삼척시,427662,4,390,2430,295989225 
2021,LIBTYPE000003,242020,강원도립대학교 도서관,강원,강릉시,61936,1,218,3510,36446410 
2021,LIBTYPE000003,211094,개신대학원대학교 도서관,서울,강북구,25255,1,64,877,3969650 
2021,LIBTYPE000003,248001,거제대학교 도서관,경남,거제시,72914,1,267,2761,35753616 
2021,LIBTYPE000003,211004,건국대학교 상허기념도서관,서울,광진구,1360229,7,7803,92289,2500000000 
2021,LIBTYPE000003,243001,건국대학교(글로컬) 중원도서관,충북,충주시,720947,2,1754,12154,817373123 
2021,LIBTYPE000003,225022,건신대학원대학교 도서관,대전,중구,21933,0,60,901,12891930 
2021,LIBTYPE000003,L0041,건양대학교 대전캠퍼스 의학도서관,대전,서구,69610,2,1272,9223,639150377 
2021,LIBTYPE000003,244001,건양대학교 도서관,충남,논산시,412474,3,923,25571,0 
2021,LIBTYPE000003,241070,경기과학기술대학교 도서관,경기,시흥시,154055,2,482,17383,130881193 
